gene_name	hgnc_id	disease_label	mondo_disease_id	classification	chromosome	start	end	strand	gene_id	transcript_id	protein_id	uniprot_id	entrez_id	mondo_ancestor_id	ancestor_label
EXT2	HGNC:3513	exostoses, multiple, type 2	MONDO_0007586	Definitive	11	44095648.0	44251962.0	+	ENSG00000151348	ENST00000533608	ENSP00000431173	Q93063	2132	MONDO_0003900	connective tissue disorder
EXT2	HGNC:3513	exostoses, multiple, type 2	MONDO_0007586	Definitive	11	44095648.0	44251962.0	+	ENSG00000151348	ENST00000533608	ENSP00000431173	Q93063	2132	MONDO_0002081	musculoskeletal system disorder
EXT2	HGNC:3513	exostoses, multiple, type 2	MONDO_0007586	Definitive	11	44095648.0	44251962.0	+	ENSG00000151348	ENST00000533608	ENSP00000431173	Q93063	2132	MONDO_0045024	cancer or benign tumor
EYA1	HGNC:3519	branchio-oto-renal syndrome	MONDO_0007029	Definitive	8	71197433.0	71592025.0	-	ENSG00000104313	ENST00000340726	ENSP00000342626	Q99502	2138	MONDO_0021147	disorder of development or morphogenesis
EYA4	HGNC:3522	nonsyndromic genetic hearing loss	MONDO_0019497	Definitive	6	133240514.0	133532128.0	+	ENSG00000112319	ENST00000355286	ENSP00000347434	O95677	2070	MONDO_0002025	psychiatric disorder
EYA4	HGNC:3522	nonsyndromic genetic hearing loss	MONDO_0019497	Definitive	6	133240514.0	133532128.0	+	ENSG00000112319	ENST00000355286	ENSP00000347434	O95677	2070	MONDO_0002409	auditory system disorder
EYA4	HGNC:3522	nonsyndromic genetic hearing loss	MONDO_0019497	Definitive	6	133240514.0	133532128.0	+	ENSG00000112319	ENST00000355286	ENSP00000347434	O95677	2070	MONDO_0005071	nervous system disorder
EYA4	HGNC:3522	dilated cardiomyopathy 1J	MONDO_0011541	Limited	6	133240514.0	133532128.0	+	ENSG00000112319	ENST00000355286	ENSP00000347434	O95677	2070	MONDO_0002081	musculoskeletal system disorder
EYA4	HGNC:3522	dilated cardiomyopathy 1J	MONDO_0011541	Limited	6	133240514.0	133532128.0	+	ENSG00000112319	ENST00000355286	ENSP00000347434	O95677	2070	MONDO_0004995	cardiovascular disorder
EYS	HGNC:21555	EYS-related retinopathy	MONDO_0800391	Definitive	6	63719980.0	65707226.0	-	ENSG00000188107	ENST00000503581	ENSP00000424243	Q5T1H1	346007	MONDO_0002022	disorder of orbital region
EYS	HGNC:21555	EYS-related retinopathy	MONDO_0800391	Definitive	6	63719980.0	65707226.0	-	ENSG00000188107	ENST00000503581	ENSP00000424243	Q5T1H1	346007	MONDO_0002025	psychiatric disorder
EYS	HGNC:21555	EYS-related retinopathy	MONDO_0800391	Definitive	6	63719980.0	65707226.0	-	ENSG00000188107	ENST00000503581	ENSP00000424243	Q5T1H1	346007	MONDO_0024458	disorder of visual system
EYS	HGNC:21555	EYS-related retinopathy	MONDO_0800391	Definitive	6	63719980.0	65707226.0	-	ENSG00000188107	ENST00000503581	ENSP00000424243	Q5T1H1	346007	MONDO_0005071	nervous system disorder
EZH2	HGNC:3527	Weaver syndrome	MONDO_0010193	Definitive	7	148807257.0	148884321.0	-	ENSG00000106462	ENST00000320356	ENSP00000320147	Q15910	2146	MONDO_0021147	disorder of development or morphogenesis
EZH2	HGNC:3527	Weaver syndrome	MONDO_0010193	Definitive	7	148807257.0	148884321.0	-	ENSG00000106462	ENST00000320356	ENSP00000320147	Q15910	2146	MONDO_0002081	musculoskeletal system disorder
F10	HGNC:3528	congenital factor X deficiency	MONDO_0009212	Definitive	13	113122799.0	113149529.0	+	ENSG00000126218	ENST00000375559	ENSP00000364709	P00742	2159	MONDO_0005570	hematologic disorder
F11	HGNC:3529	congenital factor XI deficiency	MONDO_0012897	Definitive	4	186266189.0	186289681.0	+	ENSG00000088926	ENST00000403665	ENSP00000384957	P03951	2160	MONDO_0005570	hematologic disorder
F12	HGNC:3530	congenital factor XII deficiency	MONDO_0009315	Definitive	5	177402133.0	177416583.0	-	ENSG00000131187	ENST00000253496	ENSP00000253496	P00748	2161	MONDO_0005570	hematologic disorder
F12	HGNC:3530	hereditary angioedema type 3	MONDO_0012526	Definitive	5	177402133.0	177416583.0	-	ENSG00000131187	ENST00000253496	ENSP00000253496	P00748	2161	MONDO_0002051	integumentary system disorder
F12	HGNC:3530	hereditary angioedema type 3	MONDO_0012526	Definitive	5	177402133.0	177416583.0	-	ENSG00000131187	ENST00000253496	ENSP00000253496	P00748	2161	MONDO_0021166	inflammatory disease
F12	HGNC:3530	hereditary angioedema type 3	MONDO_0012526	Definitive	5	177402133.0	177416583.0	-	ENSG00000131187	ENST00000253496	ENSP00000253496	P00748	2161	MONDO_0004995	cardiovascular disorder
F13A1	HGNC:3531	factor XIII, A subunit, deficiency of	MONDO_0013187	Definitive	6	6144084.0	6321013.0	-	ENSG00000124491	ENST00000264870	ENSP00000264870	P00488	2162	MONDO_0005570	hematologic disorder
F13B	HGNC:3534	factor XIII, b subunit, deficiency of	MONDO_0013190	Definitive	1	197038741.0	197067260.0	-	ENSG00000143278	ENST00000367412	ENSP00000356382	P05160	2165	MONDO_0005570	hematologic disorder
F2	HGNC:3535	thrombophilia due to thrombin defect	MONDO_0008559	Definitive	11	46719196.0	46739506.0	+	ENSG00000180210	ENST00000311907	ENSP00000308541	P00734	2147	MONDO_0005570	hematologic disorder
F2	HGNC:3535	congenital prothrombin deficiency	MONDO_0013361	Definitive	11	46719196.0	46739506.0	+	ENSG00000180210	ENST00000311907	ENSP00000308541	P00734	2147	MONDO_0005570	hematologic disorder
F5	HGNC:3542	thrombophilia due to activated protein C resistance	MONDO_0008560	Definitive	1	169511951.0	169586588.0	-	ENSG00000198734	ENST00000367797	ENSP00000356771	P12259	2153	MONDO_0005570	hematologic disorder
F5	HGNC:3542	congenital factor V deficiency	MONDO_0009210	Definitive	1	169511951.0	169586588.0	-	ENSG00000198734	ENST00000367797	ENSP00000356771	P12259	2153	MONDO_0005570	hematologic disorder
F7	HGNC:3544	factor VII deficiency	MONDO_0002244	Definitive	13	113105788.0	113120685.0	+	ENSG00000057593	ENST00000346342	ENSP00000329546	P08709	2155	MONDO_0005570	hematologic disorder
F8	HGNC:3546	hemophilia A	MONDO_0010602	Definitive	X	154835788.0	155026940.0	-	ENSG00000185010	ENST00000360256	ENSP00000353393	P00451	2157	MONDO_0005570	hematologic disorder
F9	HGNC:3551	hemophilia B	MONDO_0010604	Definitive	X	139530739.0	139563459.0	+	ENSG00000101981	ENST00000218099	ENSP00000218099	P00740	2158	MONDO_0005570	hematologic disorder
F9	HGNC:3551	thrombophilia, X-linked, due to factor 9 defect	MONDO_0010432	Limited	X	139530739.0	139563459.0	+	ENSG00000101981	ENST00000218099	ENSP00000218099	P00740	2158	MONDO_0005570	hematologic disorder
FAAP24	HGNC:28467	lymphoproliferative syndrome	MONDO_0016537	Disputed	19	32972209.0	32978229.0	+	ENSG00000131944	ENST00000588258	ENSP00000466121	Q9BTP7	91442	MONDO_0005046	immune system disorder
FAH	HGNC:3579	tyrosinemia type I	MONDO_0010161	Definitive	15	80152490.0	80186946.0	+	ENSG00000103876	ENST00000561421	ENSP00000453347	P16930	2184	MONDO_0005066	metabolic disease
FAM111B	HGNC:24200	hereditary sclerosing poikiloderma with tendon and pulmonary involvement	MONDO_0014310	Moderate	11	59107185.0	59127412.0	+	ENSG00000189057	ENST00000343597	ENSP00000341565	Q6SJ93	374393	MONDO_0002051	integumentary system disorder
FAM111B	HGNC:24200	hereditary sclerosing poikiloderma with tendon and pulmonary involvement	MONDO_0014310	Moderate	11	59107185.0	59127412.0	+	ENSG00000189057	ENST00000343597	ENSP00000341565	Q6SJ93	374393	MONDO_0005087	respiratory system disorder
FANCA	HGNC:3582	Fanconi anemia complementation group A	MONDO_0009215	Definitive	16	89726683.0	89816977.0	-	ENSG00000187741	ENST00000389301	ENSP00000373952	O15360	2175	MONDO_0021147	disorder of development or morphogenesis
FANCA	HGNC:3582	Fanconi anemia complementation group A	MONDO_0009215	Definitive	16	89726683.0	89816977.0	-	ENSG00000187741	ENST00000389301	ENSP00000373952	O15360	2175	MONDO_0005066	metabolic disease
FANCA	HGNC:3582	Fanconi anemia complementation group A	MONDO_0009215	Definitive	16	89726683.0	89816977.0	-	ENSG00000187741	ENST00000389301	ENSP00000373952	O15360	2175	MONDO_0002081	musculoskeletal system disorder
FANCA	HGNC:3582	Fanconi anemia complementation group A	MONDO_0009215	Definitive	16	89726683.0	89816977.0	-	ENSG00000187741	ENST00000389301	ENSP00000373952	O15360	2175	MONDO_0005570	hematologic disorder
FANCA	HGNC:3582	Fanconi anemia complementation group A	MONDO_0009215	Definitive	16	89726683.0	89816977.0	-	ENSG00000187741	ENST00000389301	ENSP00000373952	O15360	2175	MONDO_0005046	immune system disorder
FANCB	HGNC:3583	Fanconi anemia complementation group B	MONDO_0010351	Definitive	X	14690388.0	14873255.0	-	ENSG00000181544	ENST00000650831	ENSP00000498215	Q8NB91	2187	MONDO_0021147	disorder of development or morphogenesis
FANCB	HGNC:3583	Fanconi anemia complementation group B	MONDO_0010351	Definitive	X	14690388.0	14873255.0	-	ENSG00000181544	ENST00000650831	ENSP00000498215	Q8NB91	2187	MONDO_0005066	metabolic disease
FANCB	HGNC:3583	Fanconi anemia complementation group B	MONDO_0010351	Definitive	X	14690388.0	14873255.0	-	ENSG00000181544	ENST00000650831	ENSP00000498215	Q8NB91	2187	MONDO_0002081	musculoskeletal system disorder
FANCB	HGNC:3583	Fanconi anemia complementation group B	MONDO_0010351	Definitive	X	14690388.0	14873255.0	-	ENSG00000181544	ENST00000650831	ENSP00000498215	Q8NB91	2187	MONDO_0005570	hematologic disorder
FANCB	HGNC:3583	Fanconi anemia complementation group B	MONDO_0010351	Definitive	X	14690388.0	14873255.0	-	ENSG00000181544	ENST00000650831	ENSP00000498215	Q8NB91	2187	MONDO_0005046	immune system disorder
FANCC	HGNC:3584	Fanconi anemia complementation group C	MONDO_0009213	Definitive	9	95099054.0	95426796.0	-	ENSG00000158169	ENST00000289081	ENSP00000289081	Q00597	2176	MONDO_0021147	disorder of development or morphogenesis
FANCC	HGNC:3584	Fanconi anemia complementation group C	MONDO_0009213	Definitive	9	95099054.0	95426796.0	-	ENSG00000158169	ENST00000289081	ENSP00000289081	Q00597	2176	MONDO_0005066	metabolic disease
FANCC	HGNC:3584	Fanconi anemia complementation group C	MONDO_0009213	Definitive	9	95099054.0	95426796.0	-	ENSG00000158169	ENST00000289081	ENSP00000289081	Q00597	2176	MONDO_0002081	musculoskeletal system disorder
FANCC	HGNC:3584	Fanconi anemia complementation group C	MONDO_0009213	Definitive	9	95099054.0	95426796.0	-	ENSG00000158169	ENST00000289081	ENSP00000289081	Q00597	2176	MONDO_0005570	hematologic disorder
FANCC	HGNC:3584	Fanconi anemia complementation group C	MONDO_0009213	Definitive	9	95099054.0	95426796.0	-	ENSG00000158169	ENST00000289081	ENSP00000289081	Q00597	2176	MONDO_0005046	immune system disorder
FANCC	HGNC:3584	Fanconi anemia complementation group C	MONDO_0009213	Definitive	9	95099054.0	95426796.0	-	ENSG00000158169	ENST00000289081	ENSP00000289081	Q00597	105376156	MONDO_0021147	disorder of development or morphogenesis
FANCC	HGNC:3584	Fanconi anemia complementation group C	MONDO_0009213	Definitive	9	95099054.0	95426796.0	-	ENSG00000158169	ENST00000289081	ENSP00000289081	Q00597	105376156	MONDO_0005066	metabolic disease
FANCC	HGNC:3584	Fanconi anemia complementation group C	MONDO_0009213	Definitive	9	95099054.0	95426796.0	-	ENSG00000158169	ENST00000289081	ENSP00000289081	Q00597	105376156	MONDO_0002081	musculoskeletal system disorder
FANCC	HGNC:3584	Fanconi anemia complementation group C	MONDO_0009213	Definitive	9	95099054.0	95426796.0	-	ENSG00000158169	ENST00000289081	ENSP00000289081	Q00597	105376156	MONDO_0005570	hematologic disorder
FANCC	HGNC:3584	Fanconi anemia complementation group C	MONDO_0009213	Definitive	9	95099054.0	95426796.0	-	ENSG00000158169	ENST00000289081	ENSP00000289081	Q00597	105376156	MONDO_0005046	immune system disorder
FANCD2	HGNC:3585	Fanconi anemia complementation group D2	MONDO_0009214	Definitive	3	10026370.0	10101932.0	+	ENSG00000144554	ENST00000675286	ENSP00000502379	Q9BXW9	2177	MONDO_0021147	disorder of development or morphogenesis
FANCD2	HGNC:3585	Fanconi anemia complementation group D2	MONDO_0009214	Definitive	3	10026370.0	10101932.0	+	ENSG00000144554	ENST00000675286	ENSP00000502379	Q9BXW9	2177	MONDO_0005066	metabolic disease
FANCD2	HGNC:3585	Fanconi anemia complementation group D2	MONDO_0009214	Definitive	3	10026370.0	10101932.0	+	ENSG00000144554	ENST00000675286	ENSP00000502379	Q9BXW9	2177	MONDO_0002081	musculoskeletal system disorder
FANCD2	HGNC:3585	Fanconi anemia complementation group D2	MONDO_0009214	Definitive	3	10026370.0	10101932.0	+	ENSG00000144554	ENST00000675286	ENSP00000502379	Q9BXW9	2177	MONDO_0005570	hematologic disorder
FANCD2	HGNC:3585	Fanconi anemia complementation group D2	MONDO_0009214	Definitive	3	10026370.0	10101932.0	+	ENSG00000144554	ENST00000675286	ENSP00000502379	Q9BXW9	2177	MONDO_0005046	immune system disorder
FANCE	HGNC:3586	Fanconi anemia complementation group E	MONDO_0010953	Definitive	6	35452338.0	35467104.0	+	ENSG00000112039	ENST00000229769	ENSP00000229769	Q9HB96	2178	MONDO_0021147	disorder of development or morphogenesis
FANCE	HGNC:3586	Fanconi anemia complementation group E	MONDO_0010953	Definitive	6	35452338.0	35467104.0	+	ENSG00000112039	ENST00000229769	ENSP00000229769	Q9HB96	2178	MONDO_0005066	metabolic disease
FANCE	HGNC:3586	Fanconi anemia complementation group E	MONDO_0010953	Definitive	6	35452338.0	35467104.0	+	ENSG00000112039	ENST00000229769	ENSP00000229769	Q9HB96	2178	MONDO_0002081	musculoskeletal system disorder
FANCE	HGNC:3586	Fanconi anemia complementation group E	MONDO_0010953	Definitive	6	35452338.0	35467104.0	+	ENSG00000112039	ENST00000229769	ENSP00000229769	Q9HB96	2178	MONDO_0005570	hematologic disorder
FANCE	HGNC:3586	Fanconi anemia complementation group E	MONDO_0010953	Definitive	6	35452338.0	35467104.0	+	ENSG00000112039	ENST00000229769	ENSP00000229769	Q9HB96	2178	MONDO_0005046	immune system disorder
FANCF	HGNC:3587	Fanconi anemia complementation group F	MONDO_0011325	Definitive	11	22622533.0	22625823.0	-	ENSG00000183161	ENST00000327470	ENSP00000330875	Q9NPI8	2188	MONDO_0021147	disorder of development or morphogenesis
FANCF	HGNC:3587	Fanconi anemia complementation group F	MONDO_0011325	Definitive	11	22622533.0	22625823.0	-	ENSG00000183161	ENST00000327470	ENSP00000330875	Q9NPI8	2188	MONDO_0005066	metabolic disease
FANCF	HGNC:3587	Fanconi anemia complementation group F	MONDO_0011325	Definitive	11	22622533.0	22625823.0	-	ENSG00000183161	ENST00000327470	ENSP00000330875	Q9NPI8	2188	MONDO_0002081	musculoskeletal system disorder
FANCF	HGNC:3587	Fanconi anemia complementation group F	MONDO_0011325	Definitive	11	22622533.0	22625823.0	-	ENSG00000183161	ENST00000327470	ENSP00000330875	Q9NPI8	2188	MONDO_0005570	hematologic disorder
FANCF	HGNC:3587	Fanconi anemia complementation group F	MONDO_0011325	Definitive	11	22622533.0	22625823.0	-	ENSG00000183161	ENST00000327470	ENSP00000330875	Q9NPI8	2188	MONDO_0005046	immune system disorder
FANCG	HGNC:3588	Fanconi anemia complementation group G	MONDO_0013565	Definitive	9	35073835.0	35080004.0	-	ENSG00000221829	ENST00000378643	ENSP00000367910	O15287	2189	MONDO_0021147	disorder of development or morphogenesis
FANCG	HGNC:3588	Fanconi anemia complementation group G	MONDO_0013565	Definitive	9	35073835.0	35080004.0	-	ENSG00000221829	ENST00000378643	ENSP00000367910	O15287	2189	MONDO_0005066	metabolic disease
FANCG	HGNC:3588	Fanconi anemia complementation group G	MONDO_0013565	Definitive	9	35073835.0	35080004.0	-	ENSG00000221829	ENST00000378643	ENSP00000367910	O15287	2189	MONDO_0002081	musculoskeletal system disorder
FANCG	HGNC:3588	Fanconi anemia complementation group G	MONDO_0013565	Definitive	9	35073835.0	35080004.0	-	ENSG00000221829	ENST00000378643	ENSP00000367910	O15287	2189	MONDO_0005570	hematologic disorder
FANCG	HGNC:3588	Fanconi anemia complementation group G	MONDO_0013565	Definitive	9	35073835.0	35080004.0	-	ENSG00000221829	ENST00000378643	ENSP00000367910	O15287	2189	MONDO_0005046	immune system disorder
FANCI	HGNC:25568	Fanconi anemia complementation group I	MONDO_0012186	Definitive	15	89243945.0	89317261.0	+	ENSG00000140525	ENST00000310775	ENSP00000310842	Q9NVI1	55215	MONDO_0021147	disorder of development or morphogenesis
FANCI	HGNC:25568	Fanconi anemia complementation group I	MONDO_0012186	Definitive	15	89243945.0	89317261.0	+	ENSG00000140525	ENST00000310775	ENSP00000310842	Q9NVI1	55215	MONDO_0005066	metabolic disease
FANCI	HGNC:25568	Fanconi anemia complementation group I	MONDO_0012186	Definitive	15	89243945.0	89317261.0	+	ENSG00000140525	ENST00000310775	ENSP00000310842	Q9NVI1	55215	MONDO_0002081	musculoskeletal system disorder
FANCI	HGNC:25568	Fanconi anemia complementation group I	MONDO_0012186	Definitive	15	89243945.0	89317261.0	+	ENSG00000140525	ENST00000310775	ENSP00000310842	Q9NVI1	55215	MONDO_0005570	hematologic disorder
FANCI	HGNC:25568	Fanconi anemia complementation group I	MONDO_0012186	Definitive	15	89243945.0	89317261.0	+	ENSG00000140525	ENST00000310775	ENSP00000310842	Q9NVI1	55215	MONDO_0005046	immune system disorder
FANCL	HGNC:20748	Fanconi anemia complementation group L	MONDO_0013566	Definitive	2	58159243.0	58241410.0	-	ENSG00000115392	ENST00000233741	ENSP00000233741	Q9NW38	55120	MONDO_0021147	disorder of development or morphogenesis
FANCL	HGNC:20748	Fanconi anemia complementation group L	MONDO_0013566	Definitive	2	58159243.0	58241410.0	-	ENSG00000115392	ENST00000233741	ENSP00000233741	Q9NW38	55120	MONDO_0005066	metabolic disease
FANCL	HGNC:20748	Fanconi anemia complementation group L	MONDO_0013566	Definitive	2	58159243.0	58241410.0	-	ENSG00000115392	ENST00000233741	ENSP00000233741	Q9NW38	55120	MONDO_0002081	musculoskeletal system disorder
FANCL	HGNC:20748	Fanconi anemia complementation group L	MONDO_0013566	Definitive	2	58159243.0	58241410.0	-	ENSG00000115392	ENST00000233741	ENSP00000233741	Q9NW38	55120	MONDO_0005570	hematologic disorder
FANCL	HGNC:20748	Fanconi anemia complementation group L	MONDO_0013566	Definitive	2	58159243.0	58241410.0	-	ENSG00000115392	ENST00000233741	ENSP00000233741	Q9NW38	55120	MONDO_0005046	immune system disorder
FAR1	HGNC:26222	fatty acyl-CoA reductase 1 upregulation	MONDO_0100230	Moderate	11	13668659.0	13732346.0	+	ENSG00000197601	ENST00000354817	ENSP00000346874	Q8WVX9	84188	MONDO_0005066	metabolic disease
FAR1	HGNC:26222	fatty acyl-CoA reductase 1 upregulation	MONDO_0100230	Moderate	11	13668659.0	13732346.0	+	ENSG00000197601	ENST00000354817	ENSP00000346874	Q8WVX9	84188	MONDO_0005071	nervous system disorder
FAR1	HGNC:26222	fatty acyl-CoA reductase 1 deficiency	MONDO_0014510	Moderate	11	13668659.0	13732346.0	+	ENSG00000197601	ENST00000354817	ENSP00000346874	Q8WVX9	84188	MONDO_0005066	metabolic disease
FAR1	HGNC:26222	fatty acyl-CoA reductase 1 deficiency	MONDO_0014510	Moderate	11	13668659.0	13732346.0	+	ENSG00000197601	ENST00000354817	ENSP00000346874	Q8WVX9	84188	MONDO_0002022	disorder of orbital region
FAR1	HGNC:26222	fatty acyl-CoA reductase 1 deficiency	MONDO_0014510	Moderate	11	13668659.0	13732346.0	+	ENSG00000197601	ENST00000354817	ENSP00000346874	Q8WVX9	84188	MONDO_0002081	musculoskeletal system disorder
FAR1	HGNC:26222	fatty acyl-CoA reductase 1 deficiency	MONDO_0014510	Moderate	11	13668659.0	13732346.0	+	ENSG00000197601	ENST00000354817	ENSP00000346874	Q8WVX9	84188	MONDO_0024458	disorder of visual system
FARS2	HGNC:21062	Leigh syndrome	MONDO_0009723	Moderate	6	5261044.0	5829192.0	+	ENSG00000145982	ENST00000274680	ENSP00000274680	O95363	10667	MONDO_0021147	disorder of development or morphogenesis
FARS2	HGNC:21062	Leigh syndrome	MONDO_0009723	Moderate	6	5261044.0	5829192.0	+	ENSG00000145982	ENST00000274680	ENSP00000274680	O95363	10667	MONDO_0005066	metabolic disease
FARS2	HGNC:21062	Leigh syndrome	MONDO_0009723	Moderate	6	5261044.0	5829192.0	+	ENSG00000145982	ENST00000274680	ENSP00000274680	O95363	10667	MONDO_0005071	nervous system disorder
FARS2	HGNC:21062	Leigh syndrome	MONDO_0009723	Moderate	6	5261044.0	5829192.0	+	ENSG00000145982	ENST00000274680	ENSP00000274680	O95363	10667	MONDO_0044970	mitochondrial disease
FASLG	HGNC:11936	autoimmune lymphoproliferative syndrome type 1	MONDO_0011158	Definitive	1	172659103.0	172666876.0	+	ENSG00000117560	ENST00000367721	ENSP00000356694	P48023	356	MONDO_0005046	immune system disorder
FASLG	HGNC:11936	autoimmune lymphoproliferative syndrome type 1	MONDO_0011158	Definitive	1	172659103.0	172666876.0	+	ENSG00000117560	ENST00000367721	ENSP00000356694	P48023	356	MONDO_0045024	cancer or benign tumor
FASTKD2	HGNC:29160	mitochondrial disease	MONDO_0044970	Definitive	2	206765357.0	206796189.0	+	ENSG00000118246	ENST00000402774	ENSP00000385990	Q9NYY8	22868	MONDO_0044970	mitochondrial disease
FBLN2	HGNC:3601	congenital heart disease	MONDO_0005453	Limited	3	13549125.0	13638422.0	+	ENSG00000163520	ENST00000404922	ENSP00000384169	P98095	2199	MONDO_0021147	disorder of development or morphogenesis
FBLN2	HGNC:3601	congenital heart disease	MONDO_0005453	Limited	3	13549125.0	13638422.0	+	ENSG00000163520	ENST00000404922	ENSP00000384169	P98095	2199	MONDO_0004995	cardiovascular disorder
FBLN2	HGNC:3601	pulmonary arterial hypertension	MONDO_0015924	Limited	3	13549125.0	13638422.0	+	ENSG00000163520	ENST00000404922	ENSP00000384169	P98095	2199	MONDO_0004995	cardiovascular disorder
FBLN5	HGNC:3602	demyelinating hereditary motor and sensory neuropathy	MONDO_0018776	Moderate	14	91869411.0	91947987.0	-	ENSG00000140092	ENST00000342058	ENSP00000345008	Q9UBX5	10516	MONDO_0005071	nervous system disorder
FBN1	HGNC:3603	Shprintzen-Goldberg syndrome	MONDO_0008426	Disputed	15	48408313.0	48645721.0	-	ENSG00000166147	ENST00000316623	ENSP00000325527	P35555	2200	MONDO_0021147	disorder of development or morphogenesis
FBN1	HGNC:3603	Shprintzen-Goldberg syndrome	MONDO_0008426	Disputed	15	48408313.0	48645721.0	-	ENSG00000166147	ENST00000316623	ENSP00000325527	P35555	2200	MONDO_0003900	connective tissue disorder
FBN1	HGNC:3603	Shprintzen-Goldberg syndrome	MONDO_0008426	Disputed	15	48408313.0	48645721.0	-	ENSG00000166147	ENST00000316623	ENSP00000325527	P35555	2200	MONDO_0002081	musculoskeletal system disorder
FBN1	HGNC:3603	Marfan syndrome	MONDO_0007947	Definitive	15	48408313.0	48645721.0	-	ENSG00000166147	ENST00000316623	ENSP00000325527	P35555	2200	MONDO_0003900	connective tissue disorder
FBN1	HGNC:3603	Marfan syndrome	MONDO_0007947	Definitive	15	48408313.0	48645721.0	-	ENSG00000166147	ENST00000316623	ENSP00000325527	P35555	2200	MONDO_0002081	musculoskeletal system disorder
FBXL4	HGNC:13601	Leigh syndrome	MONDO_0009723	Definitive	6	98868535.0	98948006.0	-	ENSG00000112234	ENST00000369244	ENSP00000358247	Q9UKA2	26235	MONDO_0021147	disorder of development or morphogenesis
FBXL4	HGNC:13601	Leigh syndrome	MONDO_0009723	Definitive	6	98868535.0	98948006.0	-	ENSG00000112234	ENST00000369244	ENSP00000358247	Q9UKA2	26235	MONDO_0005066	metabolic disease
FBXL4	HGNC:13601	Leigh syndrome	MONDO_0009723	Definitive	6	98868535.0	98948006.0	-	ENSG00000112234	ENST00000369244	ENSP00000358247	Q9UKA2	26235	MONDO_0005071	nervous system disorder
FBXL4	HGNC:13601	Leigh syndrome	MONDO_0009723	Definitive	6	98868535.0	98948006.0	-	ENSG00000112234	ENST00000369244	ENSP00000358247	Q9UKA2	26235	MONDO_0044970	mitochondrial disease
FBXO38	HGNC:28844	distal hereditary motor neuropathy	MONDO_0018894	Moderate	5	148383935.0	148442836.0	+	ENSG00000145868	ENST00000340253	ENSP00000342023	Q6PIJ6	81545	MONDO_0005071	nervous system disorder
FCHO1	HGNC:29002	immunodeficiency 76	MONDO_0030898	Definitive	19	17747718.0	17788568.0	+	ENSG00000130475	ENST00000596536	ENSP00000470731	O14526	23149	MONDO_0005046	immune system disorder
FCSK	HGNC:29500	congenital disorder of glycosylation with defective fucosylation 2	MONDO_0020777	Limited	16	70454595.0	70480274.0	+	ENSG00000157353	ENST00000288078	ENSP00000288078	Q8N0W3	197258	MONDO_0005066	metabolic disease
FECH	HGNC:3647	protoporphyria, erythropoietic, 1	MONDO_0008319	Definitive	18	57544377.0	57586732.0	-	ENSG00000066926	ENST00000262093	ENSP00000262093	P22830	2235	MONDO_0005066	metabolic disease
FECH	HGNC:3647	protoporphyria, erythropoietic, 1	MONDO_0008319	Definitive	18	57544377.0	57586732.0	-	ENSG00000066926	ENST00000262093	ENSP00000262093	P22830	2235	MONDO_0002051	integumentary system disorder
FECH	HGNC:3647	protoporphyria, erythropoietic, 1	MONDO_0008319	Definitive	18	57544377.0	57586732.0	-	ENSG00000066926	ENST00000262093	ENSP00000262093	P22830	2235	MONDO_0004335	digestive system disorder
FECH	HGNC:3647	protoporphyria, erythropoietic, 1	MONDO_0008319	Definitive	18	57544377.0	57586732.0	-	ENSG00000066926	ENST00000262093	ENSP00000262093	P22830	2235	MONDO_0005151	endocrine system disorder
FERMT3	HGNC:23151	leukocyte adhesion deficiency 3	MONDO_0013016	Definitive	11	64205926.0	64223896.0	+	ENSG00000149781	ENST00000345728	ENSP00000339950	Q86UX7	83706	MONDO_0002022	disorder of orbital region
FERMT3	HGNC:23151	leukocyte adhesion deficiency 3	MONDO_0013016	Definitive	11	64205926.0	64223896.0	+	ENSG00000149781	ENST00000345728	ENSP00000339950	Q86UX7	83706	MONDO_0002081	musculoskeletal system disorder
FERMT3	HGNC:23151	leukocyte adhesion deficiency 3	MONDO_0013016	Definitive	11	64205926.0	64223896.0	+	ENSG00000149781	ENST00000345728	ENSP00000339950	Q86UX7	83706	MONDO_0005570	hematologic disorder
FERMT3	HGNC:23151	leukocyte adhesion deficiency 3	MONDO_0013016	Definitive	11	64205926.0	64223896.0	+	ENSG00000149781	ENST00000345728	ENSP00000339950	Q86UX7	83706	MONDO_0005046	immune system disorder
FERMT3	HGNC:23151	leukocyte adhesion deficiency 3	MONDO_0013016	Definitive	11	64205926.0	64223896.0	+	ENSG00000149781	ENST00000345728	ENSP00000339950	Q86UX7	83706	MONDO_0024458	disorder of visual system
FGA	HGNC:3661	congenital fibrinogen deficiency	MONDO_0018060	Definitive	4	154583126.0	154590742.0	-	ENSG00000171560	ENST00000403106	ENSP00000385981	P02671	2243	MONDO_0005570	hematologic disorder
FGB	HGNC:3662	congenital fibrinogen deficiency	MONDO_0018060	Definitive	4	154563011.0	154572807.0	+	ENSG00000171564	ENST00000302068	ENSP00000306099	P02675	2244	MONDO_0005570	hematologic disorder
FGD4	HGNC:19125	Charcot-Marie-Tooth disease	MONDO_0015626	Definitive	12	32399558.0	32646050.0	+	ENSG00000139132	ENST00000534526			121512	MONDO_0005071	nervous system disorder
